# Synthetic non-card examples, 20 per category; no production/customer data.
# Order/transaction IDs deliberately have an invalid Luhn checksum; not a population false-positive estimate.
timestamp	2026-09-01T12:34:56.123456Z
epoch	1789900000
order	7200000000000004
transaction	8300000000000001
version	1.20260921.123456
address	192.168.0.100
phone	+886-912-345-000
ascending	0123456789012
repeated	0000000000000
hex_numeric_segment	a4111111111111111bcdef
timestamp	2026-09-02T12:34:56.123456Z
epoch	1789900001
order	7200000000000012
transaction	8300000000000019
version	2.20260921.123456
address	192.168.1.100
phone	+886-912-345-001
ascending	1234567890123
repeated	1111111111111
hex_numeric_segment	a4111111111111112bcdef
timestamp	2026-09-03T12:34:56.123456Z
epoch	1789900002
order	7200000000000020
transaction	8300000000000027
version	3.20260921.123456
address	192.168.2.100
phone	+886-912-345-002
ascending	2345678901234
repeated	2222222222222
hex_numeric_segment	a4111111111111113bcdef
timestamp	2026-09-04T12:34:56.123456Z
epoch	1789900003
order	7200000000000038
transaction	8300000000000035
version	4.20260921.123456
address	192.168.3.100
phone	+886-912-345-003
ascending	3456789012345
repeated	3333333333333
hex_numeric_segment	a4111111111111114bcdef
timestamp	2026-09-05T12:34:56.123456Z
epoch	1789900004
order	7200000000000046
transaction	8300000000000043
version	5.20260921.123456
address	192.168.4.100
phone	+886-912-345-004
ascending	4567890123456
repeated	4444444444444
hex_numeric_segment	a4111111111111115bcdef
timestamp	2026-09-06T12:34:56.123456Z
epoch	1789900005
order	7200000000000053
transaction	8300000000000050
version	6.20260921.123456
address	192.168.5.100
phone	+886-912-345-005
ascending	5678901234567
repeated	5555555555555
hex_numeric_segment	a4111111111111116bcdef
timestamp	2026-09-07T12:34:56.123456Z
epoch	1789900006
order	7200000000000061
transaction	8300000000000068
version	7.20260921.123456
address	192.168.6.100
phone	+886-912-345-006
ascending	6789012345678
repeated	6666666666666
hex_numeric_segment	a4111111111111117bcdef
timestamp	2026-09-08T12:34:56.123456Z
epoch	1789900007
order	7200000000000079
transaction	8300000000000076
version	8.20260921.123456
address	192.168.7.100
phone	+886-912-345-007
ascending	7890123456789
repeated	7777777777777
hex_numeric_segment	a4111111111111118bcdef
timestamp	2026-09-09T12:34:56.123456Z
epoch	1789900008
order	7200000000000087
transaction	8300000000000084
version	9.20260921.123456
address	192.168.8.100
phone	+886-912-345-008
ascending	8901234567890
repeated	8888888888888
hex_numeric_segment	a4111111111111119bcdef
timestamp	2026-09-10T12:34:56.123456Z
epoch	1789900009
order	7200000000000095
transaction	8300000000000092
version	10.20260921.123456
address	192.168.9.100
phone	+886-912-345-009
ascending	9012345678901
repeated	9999999999999
hex_numeric_segment	a4111111111111120bcdef
timestamp	2026-09-11T12:34:56.123456Z
epoch	1789900010
order	7200000000000103
transaction	8300000000000100
version	11.20260921.123456
address	192.168.10.100
phone	+886-912-345-010
ascending	01234567890123
repeated	00000000000000
hex_numeric_segment	a4111111111111121bcdef
timestamp	2026-09-12T12:34:56.123456Z
epoch	1789900011
order	7200000000000111
transaction	8300000000000118
version	12.20260921.123456
address	192.168.11.100
phone	+886-912-345-011
ascending	12345678901234
repeated	11111111111111
hex_numeric_segment	a4111111111111122bcdef
timestamp	2026-09-13T12:34:56.123456Z
epoch	1789900012
order	7200000000000129
transaction	8300000000000126
version	13.20260921.123456
address	192.168.12.100
phone	+886-912-345-012
ascending	23456789012345
repeated	22222222222222
hex_numeric_segment	a4111111111111123bcdef
timestamp	2026-09-14T12:34:56.123456Z
epoch	1789900013
order	7200000000000137
transaction	8300000000000134
version	14.20260921.123456
address	192.168.13.100
phone	+886-912-345-013
ascending	34567890123456
repeated	33333333333333
hex_numeric_segment	a4111111111111124bcdef
timestamp	2026-09-15T12:34:56.123456Z
epoch	1789900014
order	7200000000000145
transaction	8300000000000142
version	15.20260921.123456
address	192.168.14.100
phone	+886-912-345-014
ascending	45678901234567
repeated	44444444444444
hex_numeric_segment	a4111111111111125bcdef
timestamp	2026-09-16T12:34:56.123456Z
epoch	1789900015
order	7200000000000152
transaction	8300000000000159
version	16.20260921.123456
address	192.168.15.100
phone	+886-912-345-015
ascending	56789012345678
repeated	55555555555555
hex_numeric_segment	a4111111111111126bcdef
timestamp	2026-09-17T12:34:56.123456Z
epoch	1789900016
order	7200000000000160
transaction	8300000000000167
version	17.20260921.123456
address	192.168.16.100
phone	+886-912-345-016
ascending	67890123456789
repeated	66666666666666
hex_numeric_segment	a4111111111111127bcdef
timestamp	2026-09-18T12:34:56.123456Z
epoch	1789900017
order	7200000000000178
transaction	8300000000000175
version	18.20260921.123456
address	192.168.17.100
phone	+886-912-345-017
ascending	78901234567890
repeated	77777777777777
hex_numeric_segment	a4111111111111128bcdef
timestamp	2026-09-19T12:34:56.123456Z
epoch	1789900018
order	7200000000000186
transaction	8300000000000183
version	19.20260921.123456
address	192.168.18.100
phone	+886-912-345-018
ascending	89012345678901
repeated	88888888888888
hex_numeric_segment	a4111111111111129bcdef
timestamp	2026-09-20T12:34:56.123456Z
epoch	1789900019
order	7200000000000194
transaction	8300000000000191
version	20.20260921.123456
address	192.168.19.100
phone	+886-912-345-019
ascending	90123456789012
repeated	99999999999999
hex_numeric_segment	a4111111111111130bcdef
